query,priceCategory,options,parking
디스코커피,1만원 대,반려동물 동반무선 인터넷포장,No
버치커피,1만원 대,포장남/녀 화장실 구분무선 인터넷단체 이용 가능반려동물 동반제로페이간편결제,No
천호역백다방,,,No
메가엠지씨커피강서,1만원 대,,No
은정다방,,,No
힐리HILLI,1만원 대,무선 인터넷남/녀 화장실 구분포장단체 이용 가능예약배달반려동물 동반제로페이간편결제지역화폐 (카드형)지역화폐 (모바일형)주차,Yes
커피그리머,1만원 대,포장배달예약단체 이용 가능남/녀 화장실 구분무선 인터넷제로페이간편결제지역화폐 (카드형)지역화폐 (모바일형)주차,Yes
에헤야,2만원 대,반려동물 동반단체 이용 가능예약무선 인터넷포장배달간편결제,No
골든타임,,,No
커피복스,1만원 대,단체 이용 가능포장배달무선 인터넷예약남/녀 화장실 구분반려동물 동반간편결제제로페이,No
블랙로드커피성수,10만원 대,예약무선 인터넷포장간편결제,No
센트럴모굴,,,No
카라바지오,1만원 대,무선 인터넷예약,No
카페앤바바이끄끄흐디자인,,,No
와이블랙,1만원 대,포장단체 이용 가능주차,Yes
나연건강카페,,,No
카페노량,1만원 대,반려동물 동반포장무선 인터넷제로페이간편결제,No
불광동커피공방,,,No
메가엠지씨커피구로깔깔,,,No
카페충정,,,No
스페이스제이피,,,No
매머드익스프레스동평화점,1만원 대,포장배달무선 인터넷예약,No
우니쿠스커피,,무선 인터넷단체 이용 가능포장반려동물 동반간편결제,No
에프앤디,,,No
원남가베,1만원 대,포장무선 인터넷,No
원남당,,,No
카토&카토베이커리,,,No
커피나인역삼상록회관,1만원 대,,No
텀브커피강동성심,1만원 대,단체 이용 가능포장남/녀 화장실 구분대기공간,No
야한생두,,,No
뉴노멀커피로스터스,1만원 대,배달포장반려동물 동반무선 인터넷단체 이용 가능,No
윤이커피,1만원 대,무선 인터넷포장반려동물 동반예약제로페이주차단체 이용 가능,Yes
넥스트도어카페,,,No
더벤티신정네거리역점,,무선 인터넷포장,No
더오캄더OKLM,,,No
행운커피,,,No
알로하포롱,,,No
칠이핫도그,,,No
향기카페,1만원 대,포장무선 인터넷장애인 편의시설예약,No
서서울호수빌딩,,,No
에딕티,1만원 대,포장제로페이무선 인터넷배달,No
뉴웨이브커피로스터스,1만원 대,무선 인터넷포장제로페이주차,Yes
감나무집까페,1만원 대,,No
냐냐케이크,5만원 대,주차,Yes
로스터투바리스타,,,No
아레밀,1만원 대,포장배달무선 인터넷,No
구월,,,No
로얄커피숍,1만원 대,,No
메가엠지씨커피충무로저동점,,,No
최가커피,1만원 대,단체 이용 가능무선 인터넷남/녀 화장실 구분,No
영커피경동,,포장,No
커피빈,1만원 대,,No
감성커피,,포장무선 인터넷남/녀 화장실 구분단체 이용 가능제로페이간편결제주차,Yes
커피조중계은행,,,No
메르씨,,,No
프라우커피,,,No
재:주문리-오-더,,,No
버블이,,,No
카페J,1만원 대,단체 이용 가능무선 인터넷포장장애인 편의시설남/녀 화장실 구분,No
메가엠지씨커피한강성심,,,No
커피인데프,1만원 대,포장배달제로페이간편결제,No
이공카페,1만원 대,포장남/녀 화장실 구분단체 이용 가능무선 인터넷,No
카페리바체,,,No
가배랑솜인사동카페,,,No
브라운체리,1만원 대,무선 인터넷포장반려동물 동반대기공간지역화폐 (모바일형)제로페이지역화폐 (카드형)간편결제주차,Yes
냇물아흘러흘러,1만원 대,예약주차무선 인터넷유아시설 (놀이방),Yes
포방터카페,,주차,Yes
디저트아카데미,,포장예약무선 인터넷반려동물 동반주차,Yes
극단예술마루,,,No
타피오빈,,단체 이용 가능포장무선 인터넷주차남/녀 화장실 구분,Yes
그라데이션커피,,배달,No
겟어웨이,1만원 대,예약배달포장,No
북바이북,,,No
카페우디,,,No
SGH한방차보감,,,No
홍카페,1만원 대,,No
오거트,1만원 대,포장배달방문접수/출장무선 인터넷단체 이용 가능대기공간예약반려동물 동반간편결제제로페이,No
과일연구소,,,No
낫배드커피,1만원 대,단체 이용 가능무선 인터넷반려동물 동반남/녀 화장실 구분주차,Yes
에크미,1만원 대,단체 이용 가능무선 인터넷포장반려동물 동반배달예약제로페이,No
하이테이블차병원,,포장배달남/녀 화장실 구분,No
벨가우프라,,,No
찰스커피컴퍼니,,,No
영등포,7만원 대,,No
투썸플레이스송파나루역점,1만원 대,예약무선 인터넷지역화폐 (카드형)지역화폐 (모바일형)포장배달남/녀 화장실 구분,No
영플랜츠&갤러리영,,,No
스탠퍼독,,,No
테마,,,No
테이큰,1만원 대,포장반려동물 동반무선 인터넷,No
와이낫,2만원 대,반려동물 동반단체 이용 가능예약포장배달무선 인터넷제로페이주차,Yes
좋은날,10만원 대,단체 이용 가능무선 인터넷포장제로페이간편결제주차,Yes
래디언트101,,,No
메이킹유니언,,,No
팔로스,1만원 대,단체 이용 가능포장무선 인터넷남/녀 화장실 구분반려동물 동반노키즈존간편결제제로페이,No
우지커피,,주차,Yes
주택커피견과로운생활,,,No
타오파크,1만원 대,,No
아리스타커피,,,No
유캔두잇,1만원 대,포장배달무선 인터넷,No
마티스커피,1만원 대,예약단체 이용 가능포장무선 인터넷배달제로페이,No
