상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
파란나무,3130277,1184.7465122925619,24.0,4.5175,1239619914.0340292
민속찻집,3130024,208.99160955827293,5.0,4.2,4943734597.046492
에스프레소0039,3120026,141.54450909255365,3.0,3.765,985711140.614096
덕수궁전통차전문,3120020,128.38871512279678,0.0,,1425483628.6819246
오코아,3120026,98.71079214357425,0.0,4.36,890515962.0189235
네스카페,3120020,175.5536857200936,0.0,,1535118266.8554327
시티커피,3120031,504.13402971446925,27.0,4.715,3608775264.9771714
커피스탠드,3001492,2026.313303771007,0.0,4.34,21572795099.318333
원커피숍,3130171,153.34990985928073,578.0,5.0,13468587865.872688
빈스빈스커피가로수길점,3120186,183.2824290425775,0.0,3.3,2603937816.4494343
우리커피,3130024,2851.004093853965,0.0,4.41,15797110618.661715
더컵,3001492,113.631468130596,0.0,,11472728612.156614
별나라콩다방,3120217,166.25676316275238,13.0,3.835,6289105470.059398
란생과일쥬스,3120043,2575.0008509022314,0.0,4.7,3083066764.67486
서울에서첫번째로잘하는전통찻집,3120023,2097.0998260006604,0.0,4.8,5946593857.96672
정동커피,3110038,343.21772187408584,1258.0,4.720000000000001,4350145334.034222
시에스타,3120020,76.07323461490017,6.0,3.9650000000000003,1372243967.606862
벨라지오,3130171,1892.7981093155452,67.0,4.3375,15698031475.393795
이디야퇴계로2길점,3120024,1105.8994092777039,8.0,5.0,3636406364.8936787
커피락펍,3130024,310.5643078756701,0.0,4.42,5135092932.045237
다동커피집,3120026,74.06965014560343,106.0,4.04,3097132247.7510443
레몬트리카페,3120190,705.4596106093238,10.0,5.0,5906888104.1430645
더잇다,3110204,52.294469358912636,1.0,5.0,1135410100.8377285
카페오브,3110836,2009.1889666202694,216.0,5.0,13236070219.722181
테라로사,3120025,5299.824443943591,567.0,4.765000000000001,43413463985.679955
카페아일랜드,3120018,2021.4041283198667,42.0,4.0649999999999995,5959983520.938438
사랑채,3120026,1766.287525277833,168.0,4.715,5671509414.234571
할리스커피충정래미안,3120018,244.2011476472136,30.0,3.73,2227824272.00864
카페일오,3130024,532.483587740692,0.0,4.86,6066469971.556878
맘모커피&펍,3130024,231.54815094760696,0.0,,4803468593.871424
카페길,3120021,2582.266191876409,310.0,3.9875000000000003,6311508426.428914
휴식,3120022,3810.887981821983,4.25,4.49,18278083238.50296
와하하커피,3110040,53.46887262095184,4.0,5.0,423336418.08781934
남산까페,3130024,449.4532442401196,1720.0,4.21,86535280561.84825
플라비우스,3120021,1737.8929432955356,2.0,4.71,1926144846.9876382
버클리쿠키,3110293,58.25912246809827,0.0,5.0,676815710.8730924
더베이커스테이블,3120005,138.72098677438564,2651.0,3.59,6728845753.443586
초이커피숍,3120043,2575.0008509022314,0.0,,3083066764.67486
광커피,3130221,120.54128100603869,34.0,3.975,7266377366.072642
아재커피남대문점,3120043,335.4332070992929,3.0,4.67,1693696438.708554
라디오데이즈,3110028,89.23862452787677,0.0,4.87,833223627.747684
아이엠카롱,3110735,217.79759305441144,12.0,4.8149999999999995,2842966195.2212043
꿀소담,3110409,133.8667221197008,0.0,,653534014.0448111
던에이비씨,3110869,103.12060433358316,0.0,,864976646.1802942
마이티,3120208,363.9962352525001,0.0,4.54,6974152131.757244
커피스테이션,3120140,3869.711462216668,6.5,5.0,1099119909.0174186
투섬플레이스상수점,3120105,185.3311094419926,123.0,3.475,1059643782.2203068
베러초이스,3110131,943.3458239141715,0.0,,5849778869.775508
맨케이브커피,3120072,71.29563895831211,0.0,,762225039.7177032
투썸플레이스압구정로데오역점,3120202,266.12545401207376,70.0,1.8,13066951180.783747
이심전심,3110475,295.6794243870562,408.0,4.640000000000001,1811532767.619322
골목커피,3130024,98.85880673311854,4.0,4.765000000000001,4434529452.959243
아렌샵,3110456,87.61089776361106,0.0,4.98,614209922.204919
루트커피,3110562,61.250379395786986,122.0,4.12,144174742.30189142
오요서울,3120054,66.28821285280831,0.0,,759326990.7421427
비크리스,3120141,707.8802659028556,4.0,4.82,333380904.5108631
커피정원,3120213,973.7512253939651,26.0,5.0,4908852710.920143
밀크모임센터,3120085,350.3516814164234,0.0,,2775211762.0866475
