상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
빽다방공존점,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,285.224424,1004999.9392104334
쥬피토Ⅱ,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,150.645306,530804.905306206
브레인오프,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,226.84399600000003,784635.4036366453
공차,상암DMC점,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,174.083428,602140.7804649626
디저트39,상암DMC점,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,208.033994,719573.0975058887
필아웃상암,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,174.083428,602140.7804649626
로리엔,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,114.744318,396891.5018978134
배일리,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,225.257212,779146.8435412563
거상앤리치,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,164.397434,568637.6948826925
텐퍼센트커피,상암DMC점,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,123.273282,426392.51241052896
셀렉토커피상암누리꿈,스퀘어점,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,90.975616,314677.44546896644
이디야커피,전문점,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,164.397434,568637.6948826925
컵앤컵,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,131.33943399999998,454292.69289542275
커피사피엔스누리꿈스퀘어,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,148.794058,514666.85394470126
타셋커피로스터스,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,140.33121,485394.5334359602
메가엠지씨커피상암누리꿈점,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,90.975616,314677.44546896644
페이퍼커피,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,140.33121,485394.5334359602
예;그리다,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,208.033994,719573.0975058887
전통찻집담소,,마포구,서울특별시 마포구 월드컵북로 396,집합,상암동,기타,11434.500198726977,3458.920744971558,148.794058,514666.85394470126
커피베이,,강서구,서울특별시 강서구 발산로 24,집합,외발산동,기타,10689.982830441711,3233.705254534972,114.744318,371049.3040446318
커피빈코리아CBTL,파르나스몰점,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,115.107956,365743.7015278615
커피빈코엑스인터점,코리아,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,285.224424,906271.297180468
커피빈CBTL파르나스몰,코리아,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,226.84399600000003,720773.4864687497
포스톤즈삼성,파르나스몰점,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,139.60393399999998,443577.1543802869
홍콩다방,파르나스몰점,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,150.645306,478659.9792827298
커피빈코엑스웨스턴서울점,코리아,강남구,서울특별시 강남구 테헤란로 521,집합,삼성동,기타,10503.839791150533,3177.3972385354627,102.97567,327194.6094943391
이디야커피영등포,홈플러스점,영등포구,서울특별시 영등포구 당산로 42,집합,문래동3가,기타,10360.128246362827,3133.924691863642,102.97567,322717.99487420206
커피베이&로띠번영등포,홈플러스점,영등포구,서울특별시 영등포구 당산로 42,집합,문래동3가,기타,10360.128246362827,3133.924691863642,164.397434,515209.1776916234
쥬씨,,영등포구,서울특별시 영등포구 당산로 42,집합,문래동3가,기타,10360.128246362827,3133.924691863642,208.033994,651962.8705436127
신스커피,,중구,서울특별시 중구 퇴계로 217,집합,충무로4가,기타,10359.120463251877,3133.6198388444177,90.975616,285082.99514869164
일카페,,중구,서울특별시 중구 퇴계로 217,집합,충무로4가,기타,10359.120463251877,3133.6198388444177,150.645306,472065.119510388
커피벨,,영등포구,서울특별시 영등포구 영등포로 109,집합,당산동2가,기타,10126.858106565356,3063.360792112456,164.397434,503608.6536394952
