geometry
POINT (951895.948088 1948287.395271)
POINT (967593.97423 1949242.38977)
POINT (949703.523779 1941214.919078)
POINT (959153.023893 1952713.60272)
POINT (941907.554195 1945204.995564)
POINT (962782.325528 1961311.903176)
POINT (958922.357282 1947653.713368)
POINT (958892.92598 1943840.366981)
POINT (954873.051789 1943564.21043)
POINT (957310.197 1952724.174005)
POINT (947400.281376 1937410.258034)
POINT (961081.284467 1944625.468886)
POINT (967644.623181 1950405.335633)
POINT (958677.100869 1944146.781929)
POINT (945474.59218 1953047.365723)
POINT (948703.919564 1956271.402927)
POINT (958791.640749 1951245.893809)
POINT (947961.437952 1946136.118183)
POINT (945581.473873 1951626.93564)
POINT (946628.442269 1950704.867638)
POINT (942522.619582 1945022.376571)
POINT (946880.851711 1940910.849018)
POINT (960093.342816 1953267.70957)
POINT (962011.489577 1961947.091859)
POINT (961307.9602 1944935.923078)
POINT (951219.499513 1955968.687208)
POINT (960611.540525 1944355.495135)
POINT (945084.442533 1947363.765844)
POINT (958429.834701 1945200.02498)
POINT (946772.974354 1951683.124261)
POINT (963034.965132 1951665.941746)
POINT (955263.568585 1942550.566505)
POINT (958939.541571 1944333.777682)
POINT (958670.738951 1959378.348877)
POINT (958793.959383 1957841.988127)
POINT (959609.750655 1959614.050504)
POINT (955524.468186 1954541.918671)
POINT (951896.729678 1942315.103992)
POINT (950693.558497 1949818.047817)
POINT (955192.898163 1942796.679798)
POINT (950417.757146 1946442.444521)
POINT (950289.961086 1941792.003849)
POINT (947489.405161 1941525.991889)
POINT (946435.449308 1951838.296317)
POINT (959152.29067 1952710.682703)
POINT (949991.19399 1946028.250221)
POINT (967556.91942 1947148.942997)
POINT (953708.88523 1952595.888009)
POINT (950653.589958 1954226.976756)
POINT (950433.567001 1942039.993036)
POINT (949561.269494 1956092.744457)
POINT (962128.184733 1955996.327182)
POINT (961219.671915 1955082.068891)
POINT (949588.784639 1942415.049358)
POINT (947148.151928 1946783.827945)
POINT (959908.141316 1946956.866149)
POINT (943737.269606 1947259.81986)
POINT (961566.063643 1946193.901863)
POINT (947158.310861 1940326.275978)
POINT (968676.286081 1949173.928051)
POINT (938894.581654 1951814.169595)
POINT (961715.189632 1955544.253751)
POINT (949216.006752 1943438.483006)
POINT (966843.856676 1944760.413665)
POINT (961831.806345 1950389.769172)
POINT (948567.5191 1956736.478801)
POINT (960696.885643 1953314.668477)
POINT (942705.523704 1948098.440903)
POINT (962368.379547 1962859.260039)
POINT (959733.012799 1947453.903357)
POINT (958642.864571 1945154.911045)
POINT (946823.747233 1945608.391896)
POINT (970184.064236 1951315.233745)
POINT (970752.771789 1951204.437162)
POINT (948110.440441 1950138.073482)
POINT (947688.837808 1957840.307964)
POINT (952744.201977 1949912.688128)
