,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
66,3130263,신노량진시장(기능상실),1810.2,2056.5,1.136062313556513
67,3130262,상도도깨비 골목형상점가,20687.6,22679.0,1.0962605618824803
68,3130261,성대전통시장(성대시장),38635.6,39855.0,1.0315615649815197
69,3130260,신대방1동골목상권,18875.8,21455.5,1.1366670551711715
70,3130259,대신시장,4618.0,4790.5,1.037353832828064
71,3130258,영진시장A동,5335.8,5916.5,1.108830915701488
72,3130257,영등포시장기계공구상가,24259.0,26868.0,1.1075477142503813
73,3130256,신동시장,18352.0,18594.0,1.0131865736704446
74,3130255,영등포전통시장,93804.4,99801.0,1.063926638835705
75,3130254,남서울상가,6875.8,7280.5,1.058858605544082
76,3130253,영신상가(제일상가),7638.0,8666.5,1.1346556690233045
77,3130250,삼구시장(로타리상가),7753.6,8882.0,1.1455323978539
78,3130249,동남상가,7287.6,7606.0,1.0436906526154015
79,3130248,영등포역지하도상점가,16935.8,18236.0,1.076772281203132
80,3130247,우리시장,30013.8,32596.0,1.0860337578047432
81,3130246,영등포청과시장(조광시장),221155.4,202314.5,0.9148069637910718
82,3130245,영일시장,43484.6,41288.0,0.9494855650046223
83,3130244,대림중앙시장,47470.6,54319.0,1.1442661352500285
84,3130243,도림시장,7732.6,8113.0,1.0491943201510487
85,3130242,대림중앙 골목형상점가,40161.4,46772.5,1.1646132853934374
86,3130241,선유도역 골목형상점가,41451.6,33129.0,0.7992212604579799
87,3130240,영등포유통상가,4709.4,3851.0,0.8177262496284028
88,3130239,양남시장,3812.8,3079.0,0.8075430130088124
89,3130238,은행나무시장,54720.2,61817.0,1.1296925084338143
90,3130237,박미시장(기능상실),913.8,764.0,0.8360691617421756
91,3130236,비단길현대시장(현대시장),69425.2,74474.0,1.0727228729625555
92,3130235,대명여울빛거리시장(대명시장),31513.4,31184.5,0.9895631699530992
93,3130234,푸른터시장(기능상실),1108.8,1146.0,1.0335497835497836
94,3130233,남문시장,23038.2,23602.0,1.0244723980172061
95,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),21460.6,22614.0,1.0537450024696422
96,3130231,독산동 우시장,27233.0,25688.5,0.9432857195314508
