query,found_name,score,reviewCount
이디야커피함지박사거리,이디야커피 함지박사거리점,4.4,7
휘게릿,,,
디스코커피,디스코볼로스,,72
버치커피,버치커피,,192
천호역백다방,빽다방 천호역로데오점,4.33,32
메가엠지씨커피강서,메가MGC커피 발산중앙점,4.41,9
은정다방,은정다방,,3
힐리HILLI,힐리,,37
커피그리머,커피그리머,,39
에헤야,에헤야 서울,,263
골든타임,골든타임,4.44,0
커피복스,CoffeeVox 커피복스,4.9,16
블랙로드커피성수,블랙로드커피 성수,,30
센트럴모굴,,,
카라바지오,카라바지오7113,,1
카페앤바바이끄끄흐디자인,,,
와이블랙,와이블랙 휘경점,,11
나연건강카페,나연건강카페,,6
카페노량,카페노량,,33
불광동커피공방,불광동 커피공방,4.74,21
메가엠지씨커피구로깔깔,,,
카페충정,카페 충정,,109
스페이스제이피,,,
매머드익스프레스동평화점,매머드익스프레스 동평화점,,5
우니쿠스커피,우니쿠스커피,4.54,250
에프앤디,에프앤디파트너,4.61,1
원남가베,원남가배,4.84,39
원남당,,,
카토&카토베이커리,루시카토,4.25,2
커피나인역삼상록회관,커피나인 역삼상록회관점,,4
텀브커피강동성심,텀브커피 강동성심병원점,4.35,4
야한생두,,,
뉴노멀커피로스터스,뉴노멀 커피 로스터스,,30
윤이커피,윤이커피 본점,4.42,31
넥스트도어카페,넥스트도어카페,,2
더벤티신정네거리역점,더벤티 신정네거리역점,4.5,9
더오캄더OKLM,,,
행운커피,행운커피,,13
알로하포롱,카페알로하포롱&눈꽃빙수,4.93,13
칠이핫도그,,,
향기카페,향기카페,,0
서서울호수빌딩,,,
에딕티,에딕티 명동점,4.61,250
뉴웨이브커피로스터스,뉴웨이브 커피 로스터스,,96
감나무집까페,감나무집 까페,,6
냐냐케이크,냐냐케이크,,13
로스터투바리스타,,,
아레밀,아레밀,,67
구월,비스트로J,,"8,717"
로얄커피숍,메이필드호텔 로얄마일,4.48,121
메가엠지씨커피충무로저동점,,,
최가커피,최가커피회관,,334
영커피경동,,,
커피빈,커피빈 성균관대법학관점,,1
감성커피,감성커피 광산사거리점,,37
커피조중계은행,,,
메르씨,까페메르시,,30
프라우커피,프라우커피,4.31,18
재:주문리-오-더,재주문 카페 목동점,,6
버블이,버블이 구로시장점,,0
카페J,카페J,,10
메가엠지씨커피한강성심,,,
커피인데프,커피인데프,4.83,20
