상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호
MA010120220804279362,커피야,,3111013,송파나루역 1번(송리단길),서울특별시 송파구 백제고분로41길 22,37.5078969199293,127.107412509839,서울특별시 송파구 송파동 25-3,5622
MA0101202406A0099341,더벤티송파역점,,3120230,송파사거리(송파역),서울특별시 송파구 송파대로38길 2-5,37.5004502138811,127.11215163217,서울특별시 송파구 송파동 195-7,5676
MA0101202303A0100286,할리스가산대륭2,2차점,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 146,37.4787043605156,126.883155072769,서울특별시 금천구 가산동 371-63,8507
MA0101202303A0008330,커피사피엔스가산대륭2,2차점,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 146,37.4787043605156,126.883155072769,서울특별시 금천구 가산동 371-63,8507
MA0101202305A0012810,13포레스트,,3120152,신대방삼거리역,서울특별시 동작구 국사봉길 13,37.4985810076466,126.929026301403,서울특별시 동작구 상도동 323-25,7042
MA010120220800802313,티타임,,3110460,구산역 4번,서울특별시 은평구 갈현로 206,37.61578156429,126.913760236329,서울특별시 은평구 갈현동 496-1,3335
MA010120220808280102,카페DHMC,,3110694,세곡초등학교,서울특별시 구로구 고척로27길 90,37.505826906155,126.845835605297,서울특별시 구로구 개봉동 109-31,8243
MA0101202406A0424538,메가엠지씨커피성북보문점,,3110305,보문역 5번,서울특별시 성북구 보문로 88,37.5831773495481,127.020820297915,서울특별시 성북구 보문동4가 17,2852
MA010120220811716533,아이매뉴얼,,3120024,회현역,서울특별시 중구 퇴계로 36,37.5572462921809,126.976968667963,서울특별시 중구 남창동 169-2,4635
MA0101202409A0001453,카페칼리스타,,3120129,구로디지털단지,서울특별시 구로구 디지털로31길 20,37.4855265142366,126.894338155512,서울특별시 구로구 구로동 197-22,8380
MA010120220803134213,뚠뚠이샌드위치,,3110897,서울대입구역 8번,서울특별시 관악구 행운1길 95,37.4828986323141,126.956131230801,서울특별시 관악구 봉천동 64-5,8737
MA010120220800036614,정주,,3110028,이화달팽이길,서울특별시 종로구 이화장1길 3,37.5772055038119,127.004675419422,서울특별시 종로구 이화동 61-8,3088
MA010120220800033032,코피발리,,3110028,이화달팽이길,서울특별시 종로구 이화장1길 3,37.5772055038119,127.004675419422,서울특별시 종로구 이화동 61-8,3088
MA0101202309A0074680,니모닉커피하우스,,3110009,자하문터널,서울특별시 종로구 자하문로 236,37.5952199348071,126.963901139719,서울특별시 종로구 부암동 208-39,3020
MA0101202306A0110669,제도,,3110009,자하문터널,서울특별시 종로구 자하문로 236,37.5952199348071,126.963901139719,서울특별시 종로구 부암동 208-39,3020
MA0101202305A0205982,어피펄,,3110267,망우역 2번,서울특별시 중랑구 상봉중앙로1다길 51,37.5998491323711,127.090173465455,서울특별시 중랑구 상봉동 276-12,2082
MA010120220812426741,카페솔솔,,3110272,신내1동주민센터,서울특별시 중랑구 봉화산로56길 20,37.6075812244817,127.099401533264,서울특별시 중랑구 신내동 392-2,2067
MA010120220810256699,제이스퀘어,,3120036,장충동족발거리(남소영길),서울특별시 중구 장충단로 188,37.5614560196629,127.006428762996,서울특별시 중구 장충동1가 54-1,4606
MA010120220814002955,카페그루,,3110394,방학중학교,서울특별시 도봉구 시루봉로 204,37.6670924251813,127.033254738183,서울특별시 도봉구 방학동 619-13,1358
MA010120220808650831,네임드에스프레소,,3110288,동구여중,서울특별시 성북구 성북로6길 2-2,37.5895040313738,127.005423473005,서울특별시 성북구 동소문동1가 8,2834
MA0101202303A0081159,미닛로스터리,,3130065,무학봉상점가,서울특별시 성동구 왕십리로 343,37.5631277735766,127.031771022403,서울특별시 성동구 하왕십리동 966-54,4710
MA010120220805832355,놀숲마곡,발산점,3120119,발산역(마곡),서울특별시 강서구 마곡중앙6로 93,37.5601373059004,126.837699287621,서울특별시 강서구 마곡동 795-7,7803
MA010120220805229659,푸우공방,,3110190,고대앞사거리,서울특별시 동대문구 약령시로7길 14,37.5834443865967,127.034689298549,서울특별시 동대문구 제기동 228-1,2476
MA010120220806079748,커피가게동경,,3110544,망리단길,서울특별시 마포구 망원로6길 21,37.5559477506974,126.903553030417,서울특별시 마포구 망원동 410-1,4009
MA010120220807029695,힐하우스,,3110617,등촌역 4번,서울특별시 양천구 목동중앙북로8길 88,37.5447291799889,126.86552407002,서울특별시 양천구 목동 639-1,7952
MA010120220812137883,시와,,3110301,성신여대입구역 7번,서울특별시 성북구 동소문로23길 40-1,37.5950350779942,127.016611323006,서울특별시 성북구 동선동5가 54,2829
MA0101202311A0082859,메가엠지씨커피가로수길점,,3120186,가로수길,서울특별시 강남구 가로수길 19,37.5191880477984,127.022997005825,서울특별시 강남구 신사동 536-18,6035
MA0101202310A0028177,커피마마퀸,,3110330,돌곶이역 1번,서울특별시 성북구 돌곶이로27길 5,37.6121332627478,127.054942038357,서울특별시 성북구 장위동 66-1,2771
MA010120220804284520,두들,,3120011,종로4가,서울특별시 종로구 창경궁로 112-15,37.5725384361754,126.9986416094,서울특별시 종로구 인의동 28-25,3130
MA010120220810323989,붐카페종로인의점,,3120011,종로4가,서울특별시 종로구 창경궁로 112-15,37.5725384361754,126.9986416094,서울특별시 종로구 인의동 28-25,3130
MA010120220803745881,밀로커피로스터스,,3130191,홍대 걷고싶은 거리,서울특별시 마포구 양화로18안길 36,37.5570545514968,126.926628140804,서울특별시 마포구 동교동 170-32,4051
MA010120220804428382,비엔나커피하우스압구정극동,타워점,3120188,압구정역,서울특별시 강남구 압구정로 152,37.5255665121231,127.026053425097,서울특별시 강남구 신사동 575,6030
MA0106202201A0605711,폴바셋입구정점,,3120188,압구정역,서울특별시 강남구 압구정로 152,37.5255665121231,127.026053425097,서울특별시 강남구 신사동 575,6030
MA0101202209A0085988,컴포즈커피서울대입구역,1호점,3120159,서울대입구역,서울특별시 관악구 봉천로 456,37.4821035153722,126.950489870277,서울특별시 관악구 봉천동 874-1,8758
MA010120220813101159,솔레일,,3120125,구로역,서울특별시 구로구 구로중앙로 197,37.5039002243341,126.877913427517,서울특별시 구로구 구로동 606-1,8216
MA0101202306A0017897,매머드익스프레스신정교점,,3110625,신정2동주민센터,서울특별시 양천구 신목로 31,37.518356911275,126.873704540207,서울특별시 양천구 신정동 114-13,8014
MA0101202308A0082115,라쎄리즈,,3120118,마곡역(마곡),서울특별시 강서구 마곡중앙4로 10,37.5585918035434,126.8279466972,서울특별시 강서구 마곡동 799-7,7631
MA0101202409A0120034,플러스82,마곡점,3120118,마곡역(마곡),서울특별시 강서구 마곡중앙4로 10,37.5585918035434,126.8279466972,서울특별시 강서구 마곡동 799-7,7631
MA0101202212A0085742,브라운시그널포유어레스트,,3120118,마곡역(마곡),서울특별시 강서구 마곡중앙4로 10,37.5585918035434,126.8279466972,서울특별시 강서구 마곡동 799-7,7631
MA010120220808345180,온리밋,,3111021,방이역 4번,서울특별시 송파구 양재대로71길 19-13,37.5102588621869,127.124438202341,서울특별시 송파구 방이동 202-4,5639
MA010120220800610044,이디야중곡대원점,,3110165,국립정신건강센터,서울특별시 광진구 용마산로 111,37.5635958037212,127.086643632768,서울특별시 광진구 중곡동 28-7,4935
