상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
투제이커피,,3120247,굽은다리역,서울특별시 강동구 천호동 35-26,서울특별시 강동구 상암로41길 3,1,127.141313629211,37.5463249723765,167,굽은다리,5,156,굽은다리역구민회관.강동홈플러스
바풍슬라임카페,,3110141,건대입구역 1번,서울특별시 광진구 화양동 42-21,서울특별시 광진구 아차산로21길 15,2,127.065052310303,37.5427335546833,450,건대입구,2,54,성수사거리
파이어앤드아이스,,3110645,우장산역 4번,서울특별시 강서구 내발산동 680,서울특별시 강서구 강서로47길 34-8,1,126.834477845708,37.5531230809215,501,우장산,5,170,명덕고등학교.서울스타병원
카페마지오,,3120096,"이화여대(이대역, 이대)",서울특별시 서대문구 대현동 40-30,서울특별시 서대문구 신촌로 171,1,126.945007958135,37.556956422887,82,이대,2,42,이대역(중)
카페스트라세,,3110548,마포구청역 4번,서울특별시 마포구 성산동 277-58,서울특별시 마포구 월드컵로32길 45,1,126.90702981052,37.5631765331117,329,마포구청,6,66,마포중앙도서관
버터필드,,3130195,도화동 상점가,서울특별시 마포구 도화동 257,서울특별시 마포구 도화2안길 20,1,126.948698405056,37.5391002900919,244,마포,5,221,마포역(중)
이디야목동파라곤,,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,1,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
씨포,목동점,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
커피인동,,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
메가엠지씨커피목동,파라곤점,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,1,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
CAFE오가다목동파라곤,,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,1,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
클래시빈,,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,1,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
