"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20203","A","골목상권","3110977","논현로18길","134284","67318","66966","17599","18701","24795","25194","21686","26309","31841","27819","18704","18084","21916","15921","19714","19865","19786","20329","20264","17520","16804"
"20203","A","골목상권","3110976","언북초등학교","848945","377758","471187","81058","163442","200187","165680","105136","133442","174442","174315","132136","127472","147665","92913","119926","126992","127149","128280","129022","115704","101874"
"20203","A","골목상권","3110975","매봉역 1번","249871","115124","134747","24554","45139","40408","38404","43296","58070","50169","53996","35718","35546","46868","27575","36121","36653","36086","36334","36439","34141","34097"
"20203","A","골목상권","3110974","언주중학교","494576","244707","249869","78420","83615","109229","95458","53315","74540","128745","109016","62921","61610","74608","57675","71730","72056","71546","73192","71726","67129","67199"
"20203","A","골목상권","3110973","강남구청역 4번","1006892","478466","528426","152187","156434","209402","210681","131149","147039","207644","213842","151254","151556","174821","107776","148056","152549","150726","152695","151037","129145","122686"
"20203","A","골목상권","3110972","강남세브란스병원미래의학연구센터","251965","115277","136688","33091","44626","53804","46400","33142","40901","75800","56814","30016","26783","31935","30617","37108","37230","36774","37125","36042","33477","34209"
"20203","A","골목상권","3110971","선정릉역 4번","1058404","523440","534964","62452","251241","297248","190412","118641","138411","271308","234308","144954","138188","153199","116445","158400","160101","157397","161142","157450","133846","130068"
"20203","A","골목상권","3110970","학동초등학교","389395","191604","197790","44399","75691","102770","71468","41079","53987","87281","81792","56288","56727","64863","42443","59265","60181","59249","60336","58908","46377","45078"
"20203","A","골목상권","3110969","베르사이유1아파트","705694","365119","340575","54760","150336","191485","145472","83048","80594","155830","158369","106420","105392","107687","71997","108095","110589","107992","110750","108410","81005","78854"
"20203","A","골목상권","3110968","강남구청역 2번","324773","163660","161112","35594","61795","81736","62283","37876","45488","57080","62509","54907","55955","61448","32872","49337","51457","50752","51476","50755","37117","33878"
